question,references,corpus_id
What was the result of Mr. Bennet being so odd a mixture? ,"[{""content"": ""Mr. Bennet was so odd a mixture of quick parts, sarcastic humour, reserve, and caprice, that the experience of three-and-twenty years had been insufficient to make his wife understand his character."", ""start_index"": 0, ""end_index"": 199}]",./corpora/fake_corpora.txt
What does Mr. Bingley attribute his defects in writing to?,"[{""content"": ""My ideas flow so rapidly that I have not time to express them; by which\nmeans my letters sometimes convey no ideas at all to my correspondents"", ""start_index"": 113015, ""end_index"": 113157}, {""content"": ""The indirect boast; for you are really proud of your defects in\nwriting, because you consider them as proceeding from a rapidity of\nthought and carelessness of execution, which, if not estimable, you\nthink at least highly interesting"", ""start_index"": 113457, ""end_index"": 113690}]",./corpora/pride_and_prejudice.txt
What caused Elizabeth to form a desperate resolution?,"[{""content"": ""Elizabeth was secretly forming a\ndesperate resolution; and, perhaps, he might be doing the same"", ""start_index"": 685912, ""end_index"": 686007}]",./corpora/pride_and_prejudice.txt
What urgent action does Elizabeth intend with Mr. Gardiner?,"[{""content"": ""I must find Mr. Gardiner this moment on business that cannot be delayed;\nI have not an instant to lose"", ""start_index"": 522085, ""end_index"": 522187}]",./corpora/pride_and_prejudice.txt
What does Lady Catherine advise young ladies about playing music?,"[{""content"": ""I often\ntell young ladies, that no excellence in music is to be acquired without\nconstant practice"", ""start_index"": 341783, ""end_index"": 341881}, {""content"": ""I have told Miss Bennet several times, that she will\nnever play really well, unless she practises more;"", ""start_index"": 341883, ""end_index"": 341986}]",./corpora/pride_and_prejudice.txt
What reasons did the character give for believing his friend's marriage would be unhappy?,"[{""content"": ""My objections to the marriage were not merely those which I last night\nacknowledged to have required the utmost force of passion to put aside\nin my own case; the want of connection could not be so great an evil to\nmy friend as to me"", ""start_index"": 384752, ""end_index"": 384984}, {""content"": ""But there were other causes of repugnance; causes\nwhich, though still existing, and existing to an equal degree in both\ninstances, I had myself endeavoured to forget, because they were not\nimmediately before me"", ""start_index"": 384986, ""end_index"": 385196}, {""content"": ""The\nsituation of your mother\u2019s family, though objectionable, was nothing in\ncomparison of that total want of propriety so frequently, so almost\nuniformly betrayed by herself, by your three younger sisters, and\noccasionally even by your father"", ""start_index"": 385243, ""end_index"": 385485}]",./corpora/pride_and_prejudice.txt
"Who are the five young ladies mentioned as ones with whom a person might fall in love, according to George Saintsbury?","[{""content"": ""there are at\nleast five with whom, as it seems to me, no man of taste and spirit can\nhelp doing so. Their names are, in chronological order, Elizabeth\nBennet, Diana Vernon, Argemone Lavington, Beatrix Esmond, and Barbara\nGrant"", ""start_index"": 26182, ""end_index"": 26408}]",./corpora/pride_and_prejudice.txt
"Who was invited to dinner at Pemberley, before they left the country?","[{""content"": ""Mr. Darcy called on his sister to join him in expressing\ntheir wish of seeing Mr. and Mrs. Gardiner, and Miss Bennet, to dinner\nat Pemberley, before they left the country"", ""start_index"": 498963, ""end_index"": 499133}]",./corpora/pride_and_prejudice.txt
What triggered the fear in Miss Roylott on the night she moved into her sister's room?,"[{""content"": ""Imagine, then, my thrill of terror when last\nnight, as I lay awake, thinking over her terrible fate, I suddenly\nheard in the silence of the night the low whistle which had been the\nherald of her own death"", ""start_index"": 336156, ""end_index"": 336360}]",./corpora/sherlock_holmes.txt
What convinced Mr. Holder that Arthur was guilty?,"[{""content"": ""How could I help suspecting him, when I actually saw him with the\ncoronet in his hand?"", ""start_index"": 486149, ""end_index"": 486235}]",./corpora/sherlock_holmes.txt
What led Mary to decide to leave her uncle's house?,"[{""content"": ""I had said to her last\nnight, in sorrow and not in anger, that if she had married my boy all\nmight have been well with him"", ""start_index"": 496393, ""end_index"": 496515}, {""content"": ""It is to that remark that she refers in this note:"", ""start_index"": 496561, ""end_index"": 496611}, {""content"": ""I feel that I have brought trouble upon you,\n    and that if I had acted differently this terrible misfortune might\n    never have occurred. I cannot, with this thought in my mind, ever\n    again be happy under your roof, and I feel that I must leave you\n    forever"", ""start_index"": 496637, ""end_index"": 496903}]",./corpora/sherlock_holmes.txt
