question,references,corpus_id
What is Mr. Wickham's intention regarding his military career?,"[{""content"": ""It is Mr. Wickham\u2019s intention to go into the\nRegulars;"", ""start_index"": 589787, ""end_index"": 589841}]",./corpora/pride_and_prejudice.txt
What was Mr. Bennet's attitude towards his marriage?,"[{""content"": ""Her father, captivated by youth and beauty, and that appearance\nof good-humour which youth and beauty generally give, had married a\nwoman whose weak understanding and illiberal mind had very early in\ntheir marriage put an end to all real affection for her. Respect,\nesteem, and confidence had vanished for ever; and all his views of\ndomestic happiness were overthrown"", ""start_index"": 453379, ""end_index"": 453746}, {""content"": ""But Mr. Bennet was not of a\ndisposition to seek comfort for the disappointment which his own\nimprudence had brought on in any of those pleasures which too often\nconsole the unfortunate for their folly or their vice"", ""start_index"": 453748, ""end_index"": 453962}]",./corpora/pride_and_prejudice.txt
What does Mr. Bennet reveal about Mr. Darcy in his conversation with Elizabeth?,"[{""content"": ""Darcy_, you see, is the man! Now, Lizzy, I think I _have_\nsurprised you. Could he, or the Lucases, have pitched on any man, within\nthe circle of our acquaintance, whose name would have given the lie more\neffectually to what they related? Mr. Darcy, who never looks at any\nwoman but to see a blemish, and"", ""start_index"": 681597, ""end_index"": 681900}]",./corpora/pride_and_prejudice.txt
Who is Mr. Collins in relation to Mr. Bennet?,"[{""content"": ""It is from my cousin, Mr. Collins, who,\nwhen I am dead, may turn you all out of this house as soon as he\npleases"", ""start_index"": 137404, ""end_index"": 137516}]",./corpora/pride_and_prejudice.txt
What were Mrs. Gardiner's reactions during the encounter with Mr. Darcy?,"[{""content"": ""Mrs. Gardiner,\nwho was not a great walker, could go no farther, and thought only of\nreturning to the carriage as quickly as possible"", ""start_index"": 480958, ""end_index"": 481090}, {""content"": ""Mrs. Gardiner was standing a little behind; and on her pausing, he asked\nher if she would do him the honour of introducing him to her friends"", ""start_index"": 482602, ""end_index"": 482743}, {""content"": ""This was a stroke of civility for which she was quite unprepared; and\nshe could hardly suppress a smile at his being now seeking the\nacquaintance of some of those very people, against whom his pride had\nrevolted, in his offer to herself"", ""start_index"": 482745, ""end_index"": 482981}]",./corpora/pride_and_prejudice.txt
What were the causes for Mr. and Mrs. Gardiner's hurried return?,"[{""content"": ""Mr. and Mrs. Gardiner had hurried back in alarm, supposing,\nby the servant\u2019s account, that their niece was taken suddenly ill; but\nsatisfying them instantly on that head, she eagerly communicated the\ncause of their summons, reading the two letters aloud, and dwelling on\nthe postscript of the last with trembling energy"", ""start_index"": 530264, ""end_index"": 530583}]",./corpora/pride_and_prejudice.txt
What reasons did Elizabeth give for not discussing events at Pemberley and Lambton earlier?,"[{""content"": ""Elizabeth told her the motives of her secrecy. She had been unwilling to\nmention Bingley; and the unsettled state of her own feelings had made\nher equally avoid the name of his friend: but now she would no longer\nconceal from her his share in Lydia\u2019s marriage"", ""start_index"": 702784, ""end_index"": 703043}]",./corpora/pride_and_prejudice.txt
Who made a very careful examination of the premises in the investigation?,"[{""content"": ""Inspector Barton, who\nhad charge of the case, made a very careful examination of the\npremises, but without finding anything which threw any light upon the\nmatter"", ""start_index"": 247786, ""end_index"": 247947}]",./corpora/sherlock_holmes.txt
What was the main reason for maintaining secrecy about the hydraulic press at Eyford?,"[{""content"": ""We guard our secret very jealously,\nhowever, and if it once became known that we had hydraulic engineers\ncoming to our little house, it would soon rouse inquiry, and then, if\nthe facts came out, it would be good-bye to any chance of getting these\nfields and carrying out our plans"", ""start_index"": 386532, ""end_index"": 386812}]",./corpora/sherlock_holmes.txt
What disguise did the character use while begging in the city?,"[{""content"": ""I painted my face, and to make myself as pitiable as\npossible I made a good scar and fixed one side of my lip in a twist by\nthe aid of a small slip of flesh-coloured plaster. Then with a red head\nof hair, and an appropriate dress, I took my station in the business\npart of the city, ostensibly as a match-seller but really as a beggar"", ""start_index"": 269816, ""end_index"": 270150}]",./corpora/sherlock_holmes.txt
