question,references,corpus_id
What was Wickham's initial intention regarding Lydia?,"[{""content"": ""They were in ----\n     Street. He saw Wickham, and afterwards insisted on seeing Lydia.\n     His first object with her, he acknowledged, had been to persuade\n     her to quit her present disgraceful situation, and return to her\n     friends as soon as they could be prevailed on to receive her,\n     offering his assistance as far as it would go. But he found Lydia\n     absolutely "", ""start_index"": 607947, ""end_index"": 608329}]",./corpora/pride_and_prejudice.txt
How did Mr. Gardiner respond to the plans discussed?,"[{""content"": ""will contrive it all.\u201d\n\nBut Mr. Gardiner, though he assured her again of his earnest endeavours\nin the cause, could not avoid recommending moderation to her, as well in\nher hopes as her fears; and "", ""start_index"": 545263, ""end_index"": 545460}]",./corpora/pride_and_prejudice.txt
How did Elizabeth Bennet interpret Mr. Bingley's change of plans as suggested by a friend?,"[{""content"": ""on chance as that of any man I know; and if, as you were\nmounting your horse, a friend were to say, \u2018Bingley, you had better stay\ntill next week,\u2019 you would probably do it--you would probably not\ngo--and, at another word, might stay a month.\u201d\n\n\u201cYou have only proved by this,\u201d cried "", ""start_index"": 114687, ""end_index"": 114969}, {""content"": ""uch\nmore than he did himself.\u201d\n\n\u201cI am exceedingly gratified,\u201d said Bingley, \u201cby your converting what my\nfriend says into a compliment on the sweetness of my temper. But I am\nafraid you are giving "", ""start_index"": 115069, ""end_index"": 115265}]",./corpora/pride_and_prejudice.txt
What are Mr. Collins's views on the suitability of young ladies reading serious books?,"[{""content"": ""said,--\n\n\u201cI have often observed how little young ladies are interested by books\nof a serious stamp, though written solely for their benefit. It amazes\nme, I confess; for certainly there can be nothing so advantageous to\nthem as instruction. But I will no longer importune my young "", ""start_index"": 151289, ""end_index"": 151570}]",./corpora/pride_and_prejudice.txt
What led Mr. Darcy to believe that Elizabeth's sister was indifferent?,"[{""content"": ""likely to be easily touched. That I was desirous of believing\nher indifferent is certain; but I will venture to say that my\ninvestigations and decisions are not usually influenced by my hopes or\nfears. I did not believe her to be indifferent because I wished it; I\nbelieved it on impartial "", ""start_index"": 384415, ""end_index"": 384705}, {""content"": ""pendence on my judgment than on his own. To convince him, therefore,\nthat he had deceived himself was no very difficult point. To persuade\nhim against returning into Hertfordshire, when "", ""start_index"": 387114, ""end_index"": 387300}]",./corpora/pride_and_prejudice.txt
What were Mrs. Bennet's feelings about the weather affecting Jane's return?,"[{""content"": ""Jane was therefore obliged to go on horseback, and her\nmother attended her to the door with many cheerful prognostics of a bad\nday. Her hopes were answered; Jane had not been gone long before "", ""start_index"": 83626, ""end_index"": 83818}, {""content"": ""ere all her own. Till the next\nmorning, however, she was not aware of all the felicity of her\ncontrivance. Breakfast was scarcely over when a servant from Netherfield\nbrought the following note for "", ""start_index"": 84104, ""end_index"": 84302}, {""content"": ""ell, my dear,\u201d said Mr. Bennet, when Elizabeth had read the note\naloud, \u201cif your daughter should hav"", ""start_index"": 84780, ""end_index"": 84880}]",./corpora/pride_and_prejudice.txt
How did Mr. Darcy react to Bingley's comments about arguments and disputes?,"[{""content"": ""such nonsense.\n\n\u201cI see your design, Bingley,\u201d said his friend. \u201cYou dislike an argument,\nand want to silence this.\u201d\n\n\u201cPerhaps I do. Arguments are too much like disputes. If you and Miss\nBennet will "", ""start_index"": 117905, ""end_index"": 118103}, {""content"": ""nd, if I may mention so delicate a subject, endeavour to\ncheck that little something, bordering on conceit and impertinence,\nwhich your lady possesses.\u201d\n\n[Illustration:\n\n     \u201cNo, no; stay where you are\u201d\n\n[_Copyright 1894 by George Allen._]]\n\n\u201cHave you anything else to propose for my domestic fel"", ""start_index"": 121173, ""end_index"": 121470}]",./corpora/pride_and_prejudice.txt
What did Elizabeth think about marrying off a daughter based on her conversation with Mrs. Bennet?,"[{""content"": ""without them.\u201d\n\n\u201cThis is the consequence, you see, madam, of marrying a daughter,\u201d said\nElizabeth. \u201cIt must make you better satisfied that your other four are\nsingle.\u201d\n\n\u201cIt is no such thing. Lydia "", ""start_index"": 623145, ""end_index"": 623342}]",./corpora/pride_and_prejudice.txt
What was the discussion about concerning the doubts of a young man's design against a girl?,"[{""content"": ""XLVII.\n\n\n[Illustration]\n\n\u201cI have been thinking it over again, Elizabeth,\u201d said her uncle, as they\ndrove from the town; \u201cand really, upon serious consideration, I am much\nmore inclined than I was to judge as your eldest sister does of the\nmatter. It appears to me so very unlikely that any young man should form\nsuch a design against a girl who is by no means unprotected or\nfriendless, and who was actually staying in his Colonel\u2019s family, that I\nam strongly inclined to hope the best. Could he expect that her friends\nwould not step forward? Could he expect to be noticed again by the\nregiment, after such an affront to Colonel Forster? His temptation is\nnot adequate to the risk.\u201d\n\n\u201cDo you really think so?\u201d cried Elizabeth, brightening up for a moment.\n\n\u201cUpon my word,\u201d "", ""start_index"": 532332, ""end_index"": 533105}]",./corpora/pride_and_prejudice.txt
What is Mrs. Bennet's opinion on Mr. Darcy?,"[{""content"": ""Darcy.\n\n\u201cBut I can assure you,\u201d she added, \u201cthat Lizzy does not lose much by not\nsuiting _his_ fancy; for he is a most disagreeable, horrid man, not at\nall worth pleasing. So high and so conceited, that there was no enduring\nhim! He walked here, and he walked there, fancying himself so very\ngreat! Not handsome enough to dance with! I wish you had been there, my\ndear, to have given him one of your set-downs. I quite detest the man.\u201d\n\n\n\n\n[Illustration]\n\n\n\n\nCHAPTER "", ""start_index"": 52839, ""end_index"": 53306}]",./corpora/pride_and_prejudice.txt
